feature,logOR,se_wald,p_wald,neglog10p,alpha,gamma,prev
24,0.009440661386768528,0.006260418433861666,0.1315565552356519,0.8808875068960897,-0.18624617574680946,0.02,0.45352
25,0.03019167147454553,0.013404156527562848,0.024296302442360487,1.6144598149229026,2.788391061728322,0.02,0.94169
26,0.01995496046420555,0.011128134613822425,0.0729411012822778,1.1370276838902709,2.3629976205497814,0.02,0.9132683333333333
27,0.017726799214013184,0.022606582239180238,0.43295605100278534,0.3635561862694647,-3.934043610764519,0.02,0.019203333333333333
28,-0.01554820383254952,0.006240281466439368,0.012717383713232474,1.8956022248334152,-0.07739965257608827,-0.02,0.4813016666666667
29,0.036203880386596415,0.006321901554289038,1.0237947359887794e-08,7.989787107777474,0.31439625566191887,0.02,0.5776783333333333
30,-0.03161818263212936,0.007752599708777187,4.534720289604939e-05,4.343449495908734,-1.3457545533623763,-0.02,0.20573833333333333
31,0.021037310005828397,0.006277339157173051,0.000804301865699029,3.0945809238849833,0.22155884673240211,0.02,0.5551533333333334
32,0.017577547409755943,0.006374115243443205,0.005821937561197509,2.234932456570308,0.4131063508281858,0.02,0.6015866666666667
33,-0.02646708352510184,0.00802575685238021,0.0009745664736079728,3.0111885330096184,-1.4639351124380233,-0.02,0.18742
34,-0.01715110174175369,0.0064638903541903315,0.007969213308006559,2.0985845484727306,0.5507501369940502,-0.02,0.6341516666666667
35,-0.029848875304526637,0.00731733861556419,4.5191275069423085e-05,4.344945404900214,1.180762919864007,-0.02,0.7647216666666666
36,-0.012247519266659393,0.10057378350286483,0.9030760578264581,0.04427567149897804,-7.604272590557184,0.02,0.0009666666666666667
37,0.01852505585981838,0.00630795384882518,0.0033164213780918815,2.4793302939982254,0.2980183854577574,0.02,0.57336
38,0.04627160824734514,0.025768559990901385,0.07254838597794144,1.1393722450962793,-4.216521009801014,0.02,0.014485
39,0.04460935598450896,0.04645849161759303,0.33695551637960164,0.472427429294919,-5.393881443531774,-0.02,0.004411666666666667
40,-0.023295964351358143,0.006243010260833632,0.00019032224334888047,3.7205104518645595,-0.09064854121520294,-0.02,0.47775
41,0.015154463613675376,0.008448150537034793,0.07284186172729962,1.1376189628282372,-1.6385214375070196,0.02,0.161455
42,-0.002067798391027761,0.020072529349143275,0.917950007134233,0.03718097045120793,-3.6873913950156636,-0.02,0.024758333333333334
43,0.01573019466682986,0.008544935147217419,0.06563924103597588,1.1828364491880066,1.6661038191810629,0.02,0.84073
44,0.08729990859055267,0.07831640464773822,0.2649756494222263,0.5767940347706101,-6.528516402329225,-0.02,0.0015116666666666666
45,-0.1054056505383713,0.039972378061767865,0.008365214921190673,2.0775228965559682,-5.011460798850759,-0.02,0.0065
46,0.03011251751584362,0.01143164542924628,0.008435150346417222,2.0739071722286826,-2.444497952597125,0.02,0.079675
47,-0.04257325028111644,0.02806080203218476,0.12922158033907558,0.8886649519791557,-4.347896157711766,0.02,0.012798333333333333
48,0.02574771738411417,0.01795253449830768,0.15151213951577766,0.8195525690527525,3.4253114325925376,0.02,0.9684383333333333
49,-0.0040237646091309184,0.040523961219512926,0.9209052653034352,0.0357850439313749,-5.109647704981276,0.02,0.005965
50,0.026422530083988573,0.006987971745555254,0.00015610910176921359,3.8065717751380337,-0.9945089164943245,0.02,0.2712833333333333
51,-0.010182884739998344,0.032171462829423944,0.751608476337579,0.12400833074570103,-4.649096161977174,0.02,0.009531666666666667
52,-0.029084946604209176,0.010531872693403978,0.005751677558907717,2.2402054686460766,-2.2171382464412006,-0.02,0.09847666666666667
53,-0.03494017388248424,0.010874323018602536,0.0013131533015422218,2.881684570081547,2.331889615918854,-0.02,0.9112366666666667
54,0.046927006850557534,0.023348454069534303,0.044446539047004095,1.352162050921151,-4.016273815874619,0.02,0.017698333333333333
55,-0.05178817606499849,0.09822870637913723,0.5980405565094563,0.2232693630500269,-8.338711732223066,-0.02,0.0010366666666666666
56,0.027859365718267196,0.0064653159001176064,1.6395773261062933e-05,4.7852680962197764,0.5301233659492102,0.02,0.6286483333333334
57,0.03035400079661704,0.04492397028423257,0.499247051896201,0.3016844910020615,-5.368379411461691,0.02,0.004756666666666667
58,0.0383302416770278,0.013165271971726001,0.0035973706070784495,2.444014818139777,-2.773818440162499,0.02,0.05844333333333333
59,-0.020525671524672048,0.007074494342998802,0.003715439749793675,2.4299897768949634,-1.0146482220325317,-0.02,0.26598
60,-0.04009948112826975,0.014818676899422643,0.006809708872037572,2.1668714546026693,3.044397519820844,-0.02,0.954565
61,0.0008164963857464235,0.04331883511956084,0.9849619389326981,0.006580551259619137,5.264426250082598,0.02,0.9947933333333333
62,0.03956859780680407,0.030449504702640136,0.19377840307976313,0.712694627419111,-4.560524188270033,0.02,0.010365
63,-0.022120457068190293,0.008833793613638783,0.01227729752951277,1.9108972192847649,-1.7503579019425257,-0.02,0.14734833333333333
64,0.007739865041755094,0.010509793419600604,0.4614610720077511,0.33586492936243195,-2.238265693515447,0.02,0.097105
65,0.019140361253168207,0.012281664287771523,0.11912658207794248,0.9239913186041283,-2.6101002896474226,0.02,0.06853333333333333
66,-0.015664145220435337,0.09714363050469349,0.8718986520904,0.05953399373244983,-7.341524648862451,0.02,0.0010383333333333334
67,-0.024966134431878534,0.016808997083325353,0.13746860831701233,0.8617964639514736,3.3158795812698196,-0.02,0.9648083333333334
68,0.010638479549745934,0.006732410227271024,0.11406362531498103,0.9428528292328482,0.7843287710304807,0.02,0.68737
69,-0.030139023575638267,0.07004807154191282,0.667005063739527,0.1758708690133062,6.1860639497655,0.02,0.99805
70,-0.010270893927160454,0.0064100529769030015,0.10908700849483757,0.9622269677889277,0.4773358344928085,-0.02,0.61747
71,-0.022776670842821044,0.006736929216183962,0.0007225715063886183,3.1411191682346136,-0.7840620382511716,-0.02,0.3133433333333333
72,0.017712426693714766,0.013377634653766773,0.1854921609282133,0.7316744393511302,2.7815140861514207,0.02,0.9418333333333333
73,-0.038272109064661664,0.013743584667279896,0.005357307460664171,2.2710534283633512,2.8862063137900424,-0.02,0.9466716666666667
74,-0.010799873158852296,0.007768074197531399,0.16444093941533278,0.7839900508546538,1.3855068974998208,-0.02,0.7992166666666667
75,0.0025799582521803316,0.006246561049666106,0.6795915375186812,0.16775203773680938,-0.12463820272755033,0.02,0.468985
76,-0.006917911087385415,0.0532954955221272,0.8967223504728246,0.047342005476869474,5.707086508720917,0.02,0.9965816666666667
77,0.0001713953040619745,0.008433034751787081,0.9837846923950463,0.007099939308791062,-1.6330409029285353,-0.02,0.163315
78,-0.0206038835393772,0.012999808391240483,0.11298054003316849,0.9469963537202032,-2.7209336923666703,-0.02,0.061928333333333335
79,-0.01731452052878071,0.010883727124424638,0.11164037492509495,0.9521787136772578,2.324308339673972,-0.02,0.9106183333333333
80,0.0006632177973609336,0.02415756785667286,0.9780977630796326,0.009617734328898743,-4.0507548007591,0.02,0.016931666666666668
81,-0.02383225744322774,0.011069194257633246,0.03131667492861942,1.504224355707705,2.3619288685706756,-0.02,0.9141883333333334
82,0.014727850100597418,0.023300148187934824,0.5273264025675356,0.27792048354748966,-3.9882507665421487,0.02,0.018085
83,-0.014289538438708164,0.007652616829680837,0.061863224851336905,1.208567444523013,-1.3156473485100337,-0.02,0.211415
84,-0.007666235798893726,0.016249179715969998,0.6370751385806626,0.19580934263088276,-3.2093512281971632,-0.02,0.038428333333333335
85,-0.033469034908134465,0.011831310304462673,0.0046715184680313025,2.330541929905653,-2.490167844763426,-0.02,0.07638333333333333
86,-0.016326424614777253,0.009438124268052333,0.08365924942708335,1.0774860361352383,-1.9450968449881296,-0.02,0.125635
87,0.021024762503410798,0.006445431837558486,0.0011064344292971565,2.9560743185991,-0.531980517723518,0.02,0.37049333333333334
88,0.02364979605381384,0.008342380938648353,0.0045840370288036,2.338751882894915,-1.622520174454799,0.02,0.16596166666666667
89,-0.03383210468702073,0.01013824228625362,0.0008466420232868347,3.0723001790126787,-2.1160652972199108,-0.02,0.10755
90,0.014111698285581379,0.016311861601944335,0.3869735819742931,0.4123186825118544,3.2187645444361523,0.02,0.961745
91,0.03013042807424499,0.011341578297853002,0.007892496293374636,2.1027856133973946,-2.424078109575852,0.02,0.08107166666666667
92,-0.02198977631276271,0.006375981133980817,0.0005629879174938136,3.2495009256141456,0.4412426038876178,-0.02,0.6075483333333334
93,0.02479614749364693,0.007601159234662791,0.0011056929003424865,2.9563654790046807,-1.3139800776510477,0.02,0.21168
94,0.009080788408572208,0.01212301998294243,0.45382506661097666,0.34311151993152683,2.5628414546097726,0.02,0.92847
95,0.017697373811048356,0.006346278971999768,0.005293278964161966,2.2762752174004444,-0.38413361065935847,0.02,0.40432666666666667
96,0.013964324596311436,0.014301573484007986,0.32885699039795446,0.48299292206079536,2.9328866854109483,0.02,0.9496116666666666
97,0.034019259651039295,0.006388787933014589,1.0104314724982415e-07,6.9954931350185925,-0.4632072277675894,0.02,0.38642
98,0.016759909653147102,0.008133625391055738,0.039344020460876074,1.4051212627502527,1.5130109487433983,0.02,0.819705
99,-0.08084309563404574,0.04255633535780294,0.05747612477434425,1.2405125210850183,-5.178161655853389,-0.02,0.005648333333333333
100,0.010885826178398327,0.01709769817745715,0.5243308761947325,0.28039456729835144,3.333562323207979,0.02,0.9653683333333334
101,0.004815651893842554,0.06481446941435384,0.9407724526978642,0.02651540790958673,6.011079148043715,-0.02,0.9976766666666667
102,0.04116602058847097,0.017834161869060235,0.02098424931716655,1.678106562466004,3.3945447864237748,0.02,0.96773
103,0.04166259878166772,0.035603286318329375,0.24192463863805524,0.6163198989814769,-4.887378066266035,-0.02,0.00755
104,0.02020188996924365,0.009962527124005508,0.042581920182655164,1.3707747584465768,-2.0972272663280873,0.02,0.10892
105,-0.01640898895416918,0.00795859009220914,0.03922716521814819,1.4064130753677586,1.4626924477470629,-0.02,0.8121566666666666
106,0.020889965661442772,0.050222506779261725,0.6774478445295584,0.16912413470435309,-5.549565751954142,-0.02,0.003821666666666667
107,-0.02118471774717895,0.007074618915108012,0.0027492417354701977,2.560787071809818,1.041283856373895,-0.02,0.7385716666666666
108,-0.018327608148312677,0.008270056050458224,0.026681864757243778,1.573783821476604,-1.5620595425975001,-0.02,0.17297666666666667
109,0.017447850972305275,0.006334620437973716,0.005880631084345129,2.2305760647840964,0.3442981233386393,0.02,0.58602
110,0.018056903252432643,0.008169655797773097,0.027088482902508433,1.5672153170605476,-1.5510158194218444,0.02,0.17543666666666666
111,-0.022288687904228856,0.008166264708092041,0.006345711241261108,2.197519694161251,1.554678412680514,-0.02,0.8247166666666667
112,-0.023023690629788582,0.00987206717496411,0.01968987622764478,1.7057570138679679,-2.044880893582145,-0.02,0.11363666666666666
113,-0.024852001282080434,0.006255951531812676,7.111107397155168e-05,4.1480627622766715,0.1777449718361246,-0.02,0.5444466666666666
114,-0.03044623882115182,0.010348516537411097,0.003260080331658995,2.4867716983472796,-2.17146950882171,-0.02,0.102505
115,0.014784575970186519,0.009539188814286356,0.12117087422535222,0.9166017587450215,-1.9928119990067015,0.02,0.1207
116,-0.007992202595261094,0.014032430946871878,0.5689814237973578,0.24490191229384978,-2.896267500362984,-0.02,0.052285
117,-0.009958899231406398,0.006239023210884201,0.11043805255209269,0.9568812602484296,0.08215480772040973,-0.02,0.5197383333333333
118,0.020689927109119446,0.03269735912493368,0.5268834672416394,0.27828542867787653,-4.688191581805969,0.02,0.009068333333333333
119,0.009836574650903422,0.009433579265159003,0.2970783418817944,0.5271290087284229,-1.9495710700643833,0.02,0.12417
120,-0.030406922461283126,0.006408650488221397,2.0884801232869057e-06,5.680169653694476,-0.45196157931602365,-0.02,0.3884183333333333
121,0.022033574387119104,0.007222922610201797,0.0022845552295356936,2.6411983383337496,1.1044273109777245,0.02,0.7501133333333333
122,-0.028756093653037815,0.022096283884957955,0.19312173149782352,0.7141688534160554,3.884395145138634,-0.02,0.98
123,0.012820287958261617,0.007316806817985445,0.07974461445791431,1.0982986373013408,-1.1674213639289082,0.02,0.23703
124,0.028476568535065732,0.009721006390748297,0.003396336613879013,2.46898927299067,-2.0465908723719535,0.02,0.11476666666666667
125,0.0026137537828100073,0.030918484416665257,0.9326295412502466,0.030290832288369766,-4.571843571303971,0.02,0.010255
126,0.06995665546065782,0.029593355922832004,0.01808217341351026,1.7427493700572645,-4.507807832808345,0.02,0.010803333333333333
127,-0.02501698519890374,0.00792435413237307,0.0015941519857994788,2.7974702755073966,1.4560406670533539,-0.02,0.8107566666666667
128,-0.13208938360171799,0.09779934034296561,0.17681837528604416,0.752472604307928,-6.792234421718084,-0.02,0.0010966666666666666
129,-0.02311675239842675,0.006462911057094625,0.00034778243511056274,3.458692355994004,-0.5267349775494989,-0.02,0.3713783333333333
130,0.022613605467726495,0.007186049746273384,0.0016502508887379025,2.7824500246882615,-1.1075509482182295,0.02,0.24902833333333332
131,-0.017722301518846736,0.0065720524169815015,0.007004800126353436,2.1546042522783058,0.6603368932631792,-0.02,0.66033
132,0.024568486129119767,0.007428738209706186,0.0009422619974832905,3.0258283241276347,-1.2351968238573177,0.02,0.22575166666666666
133,0.021778523505028815,0.02218879289754801,0.32634127466451623,0.48632799447623415,-3.8954156669951363,0.02,0.019905
134,0.0033024790504829057,0.01236414981565697,0.7893912562772706,0.10270768839345933,-2.6196186765009237,0.02,0.06810666666666666
135,0.030612564757434454,0.006907915513032421,9.35711947078962e-06,5.028857825458168,0.9014905502629171,0.02,0.7117466666666666
136,-0.019787010771036978,0.006242088504090768,0.0015247338232273423,2.816805965624217,-0.08596372875558367,-0.02,0.4787133333333333
137,-0.0002500530625086726,0.026350257391889925,0.992428518606465,0.0033007642552678467,-4.251329258154712,0.02,0.014198333333333334
138,0.03255279720243263,0.014682256240060044,0.02661269049840315,1.5749112167848398,-3.016382914815238,0.02,0.046511666666666666
139,-0.023960365900579712,0.0062372122164988065,0.0001222755357212047,3.9126604257444364,-0.04096207315463363,-0.02,0.4897
140,0.014169036687162783,0.0070462961819611055,0.044341422802966796,1.3531903755976347,-1.0223274321080669,0.02,0.2655016666666667
141,0.02159633770965552,0.007394384560474818,0.0034931284925808115,2.456785438813413,1.1876784940253737,0.02,0.766645
142,-0.019314082035837083,0.006428258968541618,0.0026596634649134116,2.575173312458187,0.5091393192035254,-0.02,0.6242633333333333
143,0.019295186023879578,0.006291252426300299,0.0021622864967936395,2.6650867637900695,-0.27530464841652025,0.02,0.43055166666666667
144,-0.03608986756589828,0.020168869105398116,0.07355286750286012,1.133400391374337,-3.672671408846189,-0.02,0.024981666666666666
145,0.04072164088306083,0.02906039413998863,0.1611314726335673,0.7928196237264751,-4.463694832310524,0.02,0.011385
146,0.026109363940407356,0.0070083873652617675,0.00019497071142240128,3.710030623627112,-0.9997837135974763,0.02,0.268785
147,-0.026361967466961195,0.006551184412147031,5.7217865198242285e-05,4.242468349779949,0.6490241835911446,-0.02,0.6568133333333334
148,-0.012840805899923015,0.008706963139403312,0.14027321952720875,0.8530252350423686,-1.717535603253112,-0.02,0.15191333333333334
149,0.022301104478238475,0.03123666595022919,0.4752642977086903,0.3230648090809601,-4.595747187259026,0.02,0.009936666666666667
150,-0.027193322344189128,0.01976889478288859,0.16895756187879452,0.772222366133886,3.6650601383854955,-0.02,0.9748566666666667
151,0.01447982916678555,0.01212347901608597,0.23233618424277325,0.6338831475256338,2.558032877857549,0.02,0.9282733333333333
152,0.016027025043247826,0.006864160472721312,0.01954943130910878,1.708865871664955,0.8861353358382573,0.02,0.7072816666666667
153,-0.018096309656399082,0.012221809904723355,0.138697970238935,0.8579298945177771,-2.584178471033673,-0.02,0.07061833333333334
154,-0.027780446309723938,0.010139333242471934,0.006146364970201061,2.2113816549748084,2.1531744919383087,-0.02,0.89575
155,-0.01107050795585375,0.014550182847979787,0.4467466110737838,0.3499387332767952,-2.979427979006786,-0.02,0.048515
156,-0.023169635507855127,0.007279357079807493,0.0014579621267227897,2.836253757478221,1.1583474152447495,-0.02,0.7604283333333334
157,-0.027801760076876562,0.006447632233330952,1.6183326455646824e-05,4.7909322050446566,-0.5116160213610591,-0.02,0.3762816666666667
158,0.01268193511005732,0.011561386758773504,0.27267565615977796,0.5643536331159499,2.4497533714413855,0.02,0.920545
159,0.026484117742141166,0.013075674831355147,0.04282123925356579,1.3683407683074045,2.729760720893694,0.02,0.938645
160,0.014624134084557898,0.02456397331322919,0.5516102864388839,0.2583676436890959,-4.095860615021582,0.02,0.016241666666666668
161,-0.06876000810231822,0.09919128949156766,0.48818021327128325,0.3114198272155195,-7.496547651546034,0.02,0.0010266666666666666
162,-0.029615707210817247,0.022000745891292094,0.17826289403412487,0.7489390471403684,-3.8431769307505546,0.02,0.020835
163,-0.02322891036877904,0.008735665617746984,0.007835231501374542,2.105948167251011,-1.7205901613240435,-0.02,0.15145833333333333
164,-0.018985444786089038,0.009263349145000186,0.04041102587389781,1.3935001244220446,-1.8928347499618545,-0.02,0.13142166666666666
165,-0.14373512397284124,0.08307925872636346,0.08361305863222313,1.077725889438695,-6.426065236019524,-0.02,0.0015316666666666666
166,0.1640078912916499,0.09260166945738275,0.0765421448005828,1.1160993725007635,-7.5294026011657325,0.02,0.0010383333333333334
167,-0.03188180430219454,0.019678860886536507,0.10520990488098357,0.9779433720391033,-3.613154757280989,-0.02,0.026213333333333335
168,-0.019185516536941553,0.006579579218919739,0.003546431667980964,2.4502084036442113,0.6710572366035819,-0.02,0.662125
169,0.008988367693407691,0.013613456444875355,0.5090894952094582,0.2932058643054913,-2.834454862883318,0.02,0.05525666666666667
170,-0.012016726358541353,0.007187560677677023,0.09454833274763985,1.0243461250408776,-1.086623167892233,-0.02,0.252505
171,0.03015576502501041,0.015340758922181681,0.04932999591846261,1.3068889204711496,3.0741524132317766,0.02,0.956135
172,0.01571447547721207,0.007135882331147309,0.02765281268065757,1.5582606882448764,1.0524676358816916,0.02,0.7415183333333333
173,-0.009182182305698228,0.007701618446687449,0.23316691263170297,0.6323330777594286,-1.3398789442615553,-0.02,0.20731666666666668
174,0.014113660367505162,0.010993887336202221,0.19922124565933552,0.7006643487406176,-2.3457512363392485,0.02,0.08754833333333334
175,0.022458808354056725,0.006499045237479083,0.0005488477472980426,3.2605481139812373,-0.589692964810746,0.02,0.3560083333333333
176,-0.009617241731300985,0.018938765614790087,0.6115885528086918,0.21354065193621163,-3.5367668186574805,-0.02,0.028016666666666665
177,0.021668387326994363,0.008061182309393705,0.0071883285209732185,2.1433720829841065,-1.5056387675155087,0.02,0.18126333333333333
178,0.004265628934172025,0.03592799085401843,0.9054915045933377,0.0431156199225816,-4.883183983808823,-0.02,0.007566666666666667
179,0.025154864725041,0.015481132490793801,0.10418975269323333,0.9821749928179443,-3.123363767383475,0.02,0.04177666666666666
180,0.0365764703098718,0.012926369130968991,0.004660604986848754,2.3315577044696183,2.6946643741111984,0.02,0.93678
181,0.005597076664927115,0.018810005030891433,0.7660401614757136,0.11574846085034278,-3.5456205291498444,0.02,0.028178333333333333
182,-0.03199028301252249,0.007007706406264846,4.994592542441286e-06,5.3014999356236245,1.0019210431220518,-0.02,0.7317683333333334
183,-0.017128557040955086,0.009164659982790303,0.06162573623040256,1.210237879254003,1.8729804010594544,-0.02,0.867565
184,-0.0128613996054415,0.006297070808634811,0.041107743228609585,1.3860763648704553,0.2907600221017539,-0.02,0.57189
185,-0.01401121432818866,0.014630515848218723,0.33822890572883835,0.4707892794642185,-2.994050351207223,-0.02,0.04803166666666667
186,-0.017885648098635316,0.006380412218776401,0.005059639854991978,2.2958803951278157,-0.4181961991596247,-0.02,0.396205
187,0.026010589920769565,0.006379773763757786,4.5612737690085364e-05,4.340913860492771,-0.4438796375949675,0.02,0.39058
188,-0.004119849031311218,0.01935931668355288,0.8314754517036111,0.08015056826892324,-3.5992503392145494,-0.02,0.026698333333333334
189,0.019998886398228156,0.03629687586621176,0.581646747741718,0.235340695906951,-4.917486202849355,-0.02,0.0073483333333333335
190,-0.004688240858217191,0.02307894192777072,0.8390261296855133,0.07622451378211485,3.973321961825146,-0.02,0.9814583333333333
191,-0.027714981995366487,0.012416246717707868,0.025604748054922334,1.5916794931705458,2.6387004850282,-0.02,0.9333566666666666
192,0.048359486448432236,0.01692990399265346,0.004284025169188087,2.3681479862978407,-3.331945595001198,0.02,0.034245
193,0.01905626662539417,0.013669189933591475,0.16328632820727118,0.7870501767618423,-2.855573332141238,0.02,0.05449
194,-0.017031324075321052,0.009027174980367298,0.059204369493918343,1.2276462396103716,-1.8232155991010166,-0.02,0.13956166666666667
195,0.014136378934557268,0.006308294968229323,0.025031313213874962,1.6015163654705282,-0.31330524502440404,0.02,0.421985
196,0.02795562990182562,0.007345039092270534,0.00014120044090910154,3.8501639471645914,-1.1981533117970284,0.02,0.23289
197,-0.018780651811357765,0.006693450618966485,0.005018792411789025,2.299400767314357,-0.7487293273614986,-0.02,0.32040166666666664
198,-0.01839652819257173,0.008636696905191588,0.033168136070172806,1.4792789335810157,-1.6958403885468645,-0.02,0.15535333333333334
199,-0.04086060044936798,0.00878892796174986,3.3338739113964566e-06,5.477050829409109,1.7657649921793352,-0.02,0.8552333333333333
200,-0.02389831637545025,0.006234989860521839,0.00012662296413706989,3.8974875242270772,0.019134357303245197,-0.02,0.5062416666666667
201,0.004044637418462753,0.010547008067534789,0.7013589227742727,0.15405967349140068,-2.230608507073361,0.02,0.09651833333333333
202,0.03249680687639568,0.03995938138835045,0.41607703342905644,0.38082625568098405,-5.102002683979428,-0.02,0.006013333333333333
203,0.01982117020563563,0.007698233492000232,0.01003071567711701,1.9986680795883167,-1.3528359969323145,0.02,0.20491
204,0.042382499509111604,0.008919029995105281,2.0149605539775626e-06,5.695733451437294,1.772441428368609,0.02,0.85458
205,-0.024521472837395263,0.006239744991480019,8.498691793855803e-05,4.070647920219221,-0.0637970610661549,-0.02,0.48371
206,0.011429106414117002,0.023183815496107523,0.6220282718661245,0.20618987570079653,3.9834320991336645,-0.02,0.981465
207,0.021164791541005847,0.007355563594134639,0.004009854859304757,2.396871346817178,-1.1986504903000368,0.02,0.232595
208,-0.020141463962494974,0.010129107264982454,0.046759318764519116,1.3301318246908087,-2.120425397167578,-0.02,0.10702333333333333
209,-0.026927490441279005,0.0070253950188604395,0.0001266521553897555,3.8973874149068957,1.0109081698942715,-0.02,0.733375
210,0.017667555470199933,0.006250516016585315,0.004704865073142334,2.3274528268233294,-0.15015801270063678,0.02,0.4621616666666667
211,-0.0396578799252222,0.028173040736243094,0.1592336916887912,0.7979650360553826,4.388566882488706,-0.02,0.98787
212,-0.019404197110149967,0.037469621220946416,0.6045526175753246,0.21856589409495747,-4.91912343660311,-0.02,0.007045
213,0.016093331334346175,0.006292754127669903,0.010544621816699665,1.976968991634854,0.2616891466670168,0.02,0.5654616666666666
214,0.0276389790332473,0.006235337151376548,9.308800970645034e-06,5.031106255148384,-0.03890324029049719,0.02,0.490285
215,-0.1148269960169297,0.07422736744927694,0.12187215172358627,0.9140955210795333,-6.2555026249044525,-0.02,0.0018866666666666667
216,-0.01278190717079549,0.023491853507239324,0.5863729628288559,0.23182606286375507,-4.001669825477477,-0.02,0.018056666666666665
217,0.016351747912872014,0.006888821420770632,0.01761256608117844,1.754177364435472,-0.9138216195988761,0.02,0.285495
218,-0.02777420845002083,0.006476783734722902,1.8006874207066458e-05,4.74456166932597,0.5698106547267519,-0.02,0.6389566666666666
219,0.013612439169764758,0.006234850142651124,0.029015012916019264,1.5373772317734247,-0.005201072541452412,0.02,0.49923666666666666
220,0.018383856640358593,0.009022944634522105,0.04160432303357109,1.3808615402367355,-1.830919343654915,0.02,0.13735
221,-0.04038085087892339,0.025386266671692727,0.11168671725623742,0.9519984738435143,-4.130094208479318,-0.02,0.015661666666666667
222,0.01812217933852573,0.006260484259976454,0.003795296372371665,2.420754304653898,0.17030997124346348,0.02,0.5426783333333334
223,-0.019679104715358553,0.014059173410732729,0.1615929525054527,0.7915775838753838,-2.904420500007796,-0.02,0.052401666666666666
224,-0.017392503693398984,0.007425752344304387,0.019171085372439424,1.717353298811158,1.2258324225998154,-0.02,0.7732933333333334
225,-0.09190773165208359,0.05739382227179657,0.10929890224626908,0.9613841999055759,5.848692079266257,0.02,0.9971866666666667
226,0.023141946617087687,0.006750670047848837,0.0006078299373253332,3.2162179135107536,0.7957741309074262,0.02,0.6889083333333333
227,-0.019633817886777215,0.0077886442778785075,0.01170796928259585,1.9315184256656988,1.4001911029255283,-0.02,0.801415
228,-0.020407283595303596,0.011982044848498947,0.08853900298326708,1.0528653728168886,2.544469227728923,-0.02,0.927745
229,0.026108159918246516,0.01180788072421538,0.02703035039207435,1.5681483245432988,2.491866200806367,0.02,0.9235833333333333
230,-0.029542455583647504,0.009694407497956237,0.002308526439688616,2.636665147084201,2.0308155805838286,-0.02,0.884565
231,-0.060752934002581374,0.10656668192503974,0.5686145297001055,0.24518204705859536,-7.05313172062799,-0.02,0.000885
